IFOH	IFOL	IFOV	Noise	SNR	i	m	q	s	binary
/home/c1737564/github/Precession/files_for_pe_runs/IFO0_psd.dat	/home/c1737564/github/Precession/files_for_pe_runs/IFO1_psd.dat	N/A	Zero	25	20	40	1	0.75	0
/home/c1737564/github/Precession/files_for_pe_runs/IFO0_psd.dat	/home/c1737564/github/Precession/files_for_pe_runs/IFO1_psd.dat	N/A	Zero	25	20	40	4	0.75	0
/home/c1737564/github/Precession/files_for_pe_runs/IFO0_psd.dat	/home/c1737564/github/Precession/files_for_pe_runs/IFO1_psd.dat	N/A	Zero	25	20	60	4	0.75	0
/home/c1737564/github/Precession/files_for_pe_runs/IFO0_psd.dat	/home/c1737564/github/Precession/files_for_pe_runs/IFO1_psd.dat	N/A	Zero	25	20	80	4	0.75	0
/home/c1737564/github/Precession/files_for_pe_runs/IFO0_psd.dat	/home/c1737564/github/Precession/files_for_pe_runs/IFO1_psd.dat	N/A	Zero	25	30	40	1	0.75	0
/home/c1737564/github/Precession/files_for_pe_runs/IFO0_psd.dat	/home/c1737564/github/Precession/files_for_pe_runs/IFO1_psd.dat	N/A	Zero	25	30	40	4	0.75	1
/home/c1737564/github/Precession/files_for_pe_runs/IFO0_psd.dat	/home/c1737564/github/Precession/files_for_pe_runs/IFO1_psd.dat	N/A	Zero	25	30	60	4	0.75	0
/home/c1737564/github/Precession/files_for_pe_runs/IFO0_psd.dat	/home/c1737564/github/Precession/files_for_pe_runs/IFO1_psd.dat	N/A	Zero	25	30	80	4	0.75	0
/home/c1737564/github/Precession/files_for_pe_runs/IFO0_psd.dat	/home/c1737564/github/Precession/files_for_pe_runs/IFO1_psd.dat	N/A	Zero	25	40	40	1	0.75	0
/home/c1737564/github/Precession/files_for_pe_runs/IFO0_psd.dat	/home/c1737564/github/Precession/files_for_pe_runs/IFO1_psd.dat	N/A	Zero	25	40	40	4	0.75	1
/home/c1737564/github/Precession/files_for_pe_runs/IFO0_psd.dat	/home/c1737564/github/Precession/files_for_pe_runs/IFO1_psd.dat	N/A	Zero	25	40	60	4	0.75	1
/home/c1737564/github/Precession/files_for_pe_runs/IFO0_psd.dat	/home/c1737564/github/Precession/files_for_pe_runs/IFO1_psd.dat	N/A	Zero	25	40	80	4	0.75	0
/home/c1737564/github/Precession/files_for_pe_runs/IFO0_psd.dat	/home/c1737564/github/Precession/files_for_pe_runs/IFO1_psd.dat	N/A	Zero	25	50	40	1	0.75	0
/home/c1737564/github/Precession/files_for_pe_runs/IFO0_psd.dat	/home/c1737564/github/Precession/files_for_pe_runs/IFO1_psd.dat	N/A	Zero	25	50	40	4	0.75	1
/home/c1737564/github/Precession/files_for_pe_runs/IFO0_psd.dat	/home/c1737564/github/Precession/files_for_pe_runs/IFO1_psd.dat	N/A	Zero	25	50	60	4	0.75	1
/home/c1737564/github/Precession/files_for_pe_runs/IFO0_psd.dat	/home/c1737564/github/Precession/files_for_pe_runs/IFO1_psd.dat	N/A	Zero	25	50	80	4	0.75	0
/home/c1737564/github/Precession/files_for_pe_runs/IFO0_psd.dat	/home/c1737564/github/Precession/files_for_pe_runs/IFO1_psd.dat	N/A	Zero	25	60	15	4	0.75	1
/home/c1737564/github/Precession/files_for_pe_runs/IFO0_psd.dat	/home/c1737564/github/Precession/files_for_pe_runs/IFO1_psd.dat	N/A	Zero	25	60	20	1	0.75	0
/home/c1737564/github/Precession/files_for_pe_runs/IFO0_psd.dat	/home/c1737564/github/Precession/files_for_pe_runs/IFO1_psd.dat	N/A	Zero	25	60	20	2	0.75	0
/home/c1737564/github/Precession/files_for_pe_runs/IFO0_psd.dat	/home/c1737564/github/Precession/files_for_pe_runs/IFO1_psd.dat	N/A	Zero	25	60	20	4	0.75	-99
/home/c1737564/github/Precession/files_for_pe_runs/IFO0_psd.dat	/home/c1737564/github/Precession/files_for_pe_runs/IFO1_psd.dat	N/A	Zero	25	60	25	2	0.75	0
/home/c1737564/github/Precession/files_for_pe_runs/IFO0_psd.dat	/home/c1737564/github/Precession/files_for_pe_runs/IFO1_psd.dat	N/A	Zero	25	60	25	4	0.75	1
